0;21.100;70.600;04.915;0.066;0.107
10;21.120;70.300;04.914;0.069;0.130
20;21.030;70.500;04.918;0.091;0.096
30;21.060;70.200;04.919;0.069;0.107
40;21.090;70.800;04.918;0.059;0.115
50;20.870;71.800;04.919;0.066;0.104
100;20.790;72.000;04.914;0.059;0.133
110;20.820;72.000;04.921;0.073;0.115
120;20.840;72.300;04.919;0.062;0.148
130;20.760;72.600;04.916;0.055;0.104
140;20.770;72.500;04.920;0.066;0.107
150;20.800;72.200;04.918;0.062;0.119
200;20.930;71.900;04.917;0.088;0.126
210;21.060;69.750;04.918;0.073;0.107
220;20.950;70.200;04.917;0.069;0.122
230;20.870;70.900;04.917;0.066;0.167
240;20.930;70.900;04.917;0.077;0.141
250;20.900;71.000;04.915;0.059;0.141
300;20.820;71.500;04.917;0.059;0.137
310;20.700;72.500;04.917;0.029;0.141
320;20.740;72.500;04.916;0.051;0.163
330;20.700;72.800;04.918;0.055;0.159
340;20.740;72.600;04.918;0.059;0.122
350;20.760;72.200;04.919;0.084;0.100
400;20.620;72.200;04.916;0.077;0.107
410;20.570;72.800;04.918;0.059;0.119
420;20.610;72.700;04.916;0.044;0.133
430;20.670;72.300;04.917;0.062;0.159
440;20.620;71.800;04.916;0.069;0.107
450;20.580;72.000;04.919;0.073;0.141
500;20.370;72.100;04.918;0.069;0.126
510;20.190;72.200;04.915;0.040;0.107
520;20.100;72.400;04.914;0.051;0.141
530;19.920;73.800;04.914;0.051;0.167
540;20.090;74.100;04.913;0.113;0.156
550;19.920;73.600;04.914;0.435;0.411
600;19.800;74.200;04.920;1.525;1.275
610;19.740;75.400;04.916;3.310;2.761
620;19.660;75.700;04.915;6.853;5.725
630;19.580;75.900;04.915;15.810;12.920
640;19.460;76.200;04.917;31.840;26.650
650;19.530;76.300;04.914;50.130;42.440
700;19.790;75.900;04.917;86.700;75.400
710;20.100;74.900;04.919;115.800;101.400
720;20.400;73.500;04.915;145.500;128.400
730;20.760;72.200;04.914;176.100;156.400
740;20.990;71.100;04.916;209.200;186.800
750;21.220;70.100;04.916;240.600;215.800
800;21.540;69.510;04.916;272.100;244.800
810;22.030;67.780;04.918;304.500;274.600
820;22.480;65.480;04.917;336.500;304.100
830;22.620;63.980;04.917;370.400;335.400
840;22.780;63.840;04.920;403.400;365.700
850;22.900;63.340;04.918;436.800;396.100
900;23.070;62.610;04.916;468.000;423.900
910;23.370;61.070;04.917;498.500;434.000
920;23.750;59.870;04.920;527.300;339.000
930;24.170;57.670;04.920;553.000;188.400
940;24.520;56.400;04.919;578.900;141.600
950;24.970;55.470;04.923;605.400;130.600
1000;25.430;54.000;04.917;630.400;129.200
1010;25.850;51.200;04.920;655.000;129.100
1020;26.180;50.000;04.924;678.400;128.700
1030;26.530;50.070;04.922;699.700;129.300
1040;26.750;50.470;04.922;721.000;129.800
1050;26.960;49.870;04.923;738.000;130.000
1100;27.320;49.230;04.919;757.000;130.100
1110;27.640;47.430;04.921;775.000;128.700
1120;27.960;46.800;04.926;791.000;127.600
1130;28.310;44.730;04.924;806.000;126.300
1140;28.560;42.430;04.922;821.000;123.800
1150;28.910;41.730;04.926;831.000;122.500
1200;29.580;39.590;04.922;840.000;121.100
1210;29.380;38.130;04.920;849.000;120.300
1220;29.520;37.990;04.921;858.000;119.400
1230;30.000;36.360;04.919;866.000;118.800
1240;30.080;34.760;04.920;868.000;118.500
1250;30.190;35.690;04.920;870.000;116.800
1300;30.360;34.720;04.917;875.000;113.600
1310;30.530;32.920;04.917;874.000;112.200
1320;30.670;35.390;04.924;872.000;110.800
1330;30.610;35.560;04.922;869.000;108.300
1340;31.030;34.460;04.924;868.000;106.200
1350;30.960;33.660;04.919;863.000;104.900
1400;31.050;33.590;04.919;856.000;103.800
1410;31.400;31.950;04.922;849.000;101.600
1420;31.260;32.450;04.920;842.000;99.400
1430;31.560;31.850;04.920;833.000;97.800
1440;31.660;32.190;04.927;822.000;97.100
1450;31.710;40.660;04.926;805.000;97.400
1500;30.840;42.760;04.922;789.000;96.300
1510;30.520;43.930;04.922;772.000;93.800
1520;30.290;44.600;04.917;760.000;90.700
1530;30.180;45.130;04.922;742.000;89.500
1540;30.290;44.200;04.923;724.000;88.600
1550;29.960;44.360;04.923;705.000;87.300
1600;30.140;43.800;04.924;685.500;85.700
1610;30.140;43.800;04.922;663.900;85.100
1620;30.020;43.460;04.922;640.800;84.400
1630;30.100;42.930;04.920;616.100;83.600
1640;30.010;42.660;04.920;591.700;82.800
1650;30.090;42.530;04.922;565.200;82.200
1700;29.960;43.100;04.927;537.600;81.600
1710;29.730;43.660;04.924;510.700;80.400
1720;29.930;42.930;04.918;485.400;80.000
1730;29.860;42.730;04.916;456.900;92.800
1740;30.000;41.530;04.923;426.300;168.600
1750;30.010;41.660;04.918;397.300;316.000
1800;29.850;42.330;04.918;366.500;356.600
