36384.31894;23791.13924;28468.61925
35689.03654;23555.6962;28034.81172
34751.36213;23016.4557;27372.05021
33954.01993;22644.3038;26775.56485
33411.82724;22226.58228;26191.12971
32997.2093;21869.62025;25130.7113
32078.6711;21132.91139;24510.12552
31517.34219;20901.26582;24082.3431
31153.75415;20536.70886;23769.03766
30299.00332;20301.26582;23299.0795
29814.21927;20035.44304;23100.25105
29590.96346;19860.75949;22672.46862
29482.52492;19469.62025;22262.76151
29335.81395;19264.55696;22039.83264
29252.89037;19237.97468;21666.27615
28997.74086;19131.64557;21636.15063
28538.47176;18911.39241;21358.99582
28487.44186;18637.97468;21268.61925
28104.71761;18482.27848;21280.66946
28347.10963;18615.18987;21220.41841
28283.32226;18467.08861;20858.91213
27696.47841;18140.50633;20461.25523
27415.81395;17927.8481;20491.38075
26943.78738;17365.82278;20129.87448
26624.8505;17430.37975;19762.3431
26682.25914;17213.92405;19503.2636
25789.23588;17081.01266;19105.60669
25119.46844;16177.21519;18683.84937
24079.73422;15269.62025;18057.23849
22893.28904;14756.96203;17141.42259
22300.06645;14100;15460.41841
21866.31229;13363.29114;14520.50209
20960.53156;13177.21519;14062.59414
20794.68439;13025.31646;13893.89121
20501.26246;12941.77215;13616.7364
20469.36877;12850.63291;13562.51046
20469.36877;13143.03797;13610.7113
20303.52159;13439.24051;13658.91213
20392.82392;13401.26582;13875.8159
20609.701;13469.62025;13966.19247
20903.12292;13492.40506;13972.21757
21528.2392;13837.97468;14201.17155
21585.64784;13997.46835;14508.45188
21649.43522;14191.13924;14550.62762
21828.03987;14521.51899;14737.40586
21885.4485;14711.39241;15068.78661
21917.34219;14912.65823;15568.87029
22765.71429;15110.12658;15840
23607.70764;15356.96203;16285.85774
23869.23588;15831.64557;16785.94142
24226.44518;16135.44304;17472.80335
24704.8505;16841.77215;17870.46025
25093.95349;17377.21519;18099.41423
25374.61794;17616.4557;18394.64435
26203.85382;17996.20253;18689.87448
26746.04651;18558.22785;19033.30544
27218.07309;18763.29114;19286.35983
27498.73754;18930.37975;19563.51464
